"File","Line","Col","Code","Msg"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","5","1","SST1522","This file is 528 lines, over the maximum of 500 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1522.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","7","1","SST1445","The using directive for 'System.Reactive.Disposables' is unnecessary (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1445.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","128","1","SST1521","This line is 143 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","142","1","SST1521","This line is 146 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","345","1","SST1521","This line is 122 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","386","43","CS0419","Ambiguous reference in cref attribute: 'BrushColorTo'. Assuming 'CP.AnimationRx.AnimationsExtensions.BrushColorTo(Avalonia.Media.SolidColorBrush, double, Avalonia.Media.Color, CP.AnimationRx.Ease, System.Reactive.Concurrency.IScheduler?)', but could have also matched other overloads including 'CP.AnimationRx.AnimationsExtensions.BrushColorTo(Avalonia.Media.SolidColorBrush, double, Avalonia.Media.Color)'."
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","505","1","SST1521","This line is 127 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","643","1","SST1521","This line is 143 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","720","1","SST1521","This line is 142 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.cs","724","1","SST1521","This line is 122 characters, over the maximum of 120 (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1521.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.Overloads.cs","6","1","SST1445","The using directive for 'System.Reactive.Concurrency' is unnecessary (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1445.md)"
"D:\Projects\Github\chrispulman\AnimationRx\src\AnimationRx.Avalonia\AnimationsExtensions.Overloads.cs","7","1","SST1445","The using directive for 'System.Reactive.Disposables' is unnecessary (https://github.com/glennawatson/RoslynCommonAnalyzers/blob/main/docs/rules/SST1445.md)"
